n_tokens_title,n_non_stop_words,n_non_stop_unique_tokens,average_token_length,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares,n_tokens_content,n_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,num_keywords
11.0,0.999999993939,0.78181817708,4.87931034483,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200681172789,0.0200040325567,0.330315254577,0.0200110788636,0.609601516724,0.455146705147,-0.0550565175565,0.0172413793103,0.0206896551724,0.454545454545,0.545454545455,0.34512987013,0.136363636364,0.5,-0.452777777778,-0.75,-0.15,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,2000,5.673323267171493,0.4788925753040435,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.0,2.3978952727983707
13.0,0.999999995122,0.731707313504,4.5835694051,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688900407883,0.0333369327115,0.211030470435,0.033398320121,0.0333338688504,0.44939042939,0.117970925471,0.0538243626062,0.0198300283286,0.730769230769,0.269230769231,0.366136363636,0.0625,1.0,-0.326870748299,-0.8,-0.0714285714286,0.5,0.0625,0.0,0.0625,4600,5.869296913133774,0.4381630223793066,1.9459101490553132,1.791759469228055,0.6931471805599453,0.0,1.9459101490553132
11.0,0.999999994595,0.772972968795,4.9852398524,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285726142064,0.0292191586675,0.0285721748329,0.8850640223,0.0285720299931,0.306277056277,0.10919237013,0.0184501845018,0.00738007380074,0.714285714286,0.285714285714,0.337272727273,0.1,0.7,-0.29375,-0.4,-0.1875,0.0,0.0,0.5,0.0,939,5.605802066295998,0.5123453793729967,2.8903717578961645,1.6094379124341003,0.0,1.0986122886681098,2.0794415416798357
13.0,0.999999996885,0.735202489921,4.61284722222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0333349183391,0.0333350549669,0.866633231933,0.0333344798325,0.0333623149288,0.504420433368,0.14618197957,0.0381944444444,0.0208333333333,0.647058823529,0.352941176471,0.402464580874,0.1,1.0,-0.178587962963,-0.5,-0.05,0.3,1.0,0.2,1.0,2000,6.3578422665081,0.4234626905324328,2.1972245773362196,0.0,0.6931471805599453,0.0,1.9459101490553132
10.0,0.999999996835,0.746835440675,4.69926199262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0400035242067,0.838393129772,0.0400816924984,0.0410358134496,0.040485840073,0.40436067997,0.189486326681,0.0405904059041,0.0147601476015,0.733333333333,0.266666666667,0.399724517906,0.0333333333333,0.9,-0.121875,-0.25,-0.05,0.0,0.0,0.5,0.0,998,6.297109319933935,0.4420992406210095,2.70805020110221,2.302585092994046,0.6931471805599453,0.0,1.791759469228055
8.0,0.999999997468,0.640506327492,4.78305084746,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529360160297,0.0345432588666,0.0336393863395,0.223111628463,0.179345566034,0.510648148148,0.140115740741,0.0661016949153,0.0271186440678,0.709090909091,0.290909090909,0.352564102564,0.0333333333333,1.0,-0.263107638889,-0.4,-0.1,0.583333333333,0.416666666667,0.0833333333333,0.416666666667,721,6.3818160174060985,0.4334015453331415,3.044522437723423,1.6094379124341003,1.0986122886681098,2.6390573296152584,1.9459101490553132
11.0,0.999999992188,0.781249993896,4.38626609442,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285748154543,0.0297920602728,0.0285735769102,0.884486533136,0.0285730142264,0.311031746032,0.095,0.0257510729614,0.00858369098712,0.75,0.25,0.358333333333,0.1,0.7,-0.175,-0.2,-0.15,0.0,0.0,0.5,0.0,2600,5.455321115357702,0.46115401234101133,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,2.0794415416798357
10.0,0.999999992126,0.755905505859,4.61502347418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.599263483455,0.314993421215,0.0285889178147,0.0285825055848,0.0285716719304,0.274655647383,0.191184573003,0.0328638497653,0.00469483568075,0.875,0.125,0.357575757576,0.0333333333333,1.0,-0.4,-0.4,-0.4,0.0,0.0,0.5,0.0,1200,5.365976015021851,0.4585196692958837,1.791759469228055,1.0986122886681098,0.6931471805599453,0.0,2.0794415416798357
8.0,0.999999990654,0.710280367194,4.97282608696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65793601028,0.222012189227,0.0400320931016,0.0400192796723,0.0400004277184,0.462525252525,-0.0120202020202,0.0380434782609,0.0380434782609,0.5,0.5,0.257575757576,0.0333333333333,0.5,-0.283333333333,-0.8,-0.133333333333,0.6,-0.133333333333,0.1,0.133333333333,2100,5.220355825078324,0.4713838896379491,1.6094379124341003,1.3862943611198906,0.6931471805599453,0.0,1.791759469228055
11.0,0.999999995868,0.719008261492,4.83790523691,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0333350394932,0.199868992488,0.0333877488921,0.033334391324,0.700073827803,0.500732323232,0.107297077922,0.0523690773067,0.0149625935162,0.777777777778,0.222222222222,0.267609771181,0.1,0.5,-0.274107142857,-0.714285714286,-0.142857142857,0.0,0.0,0.5,0.0,1200,5.996452088619021,0.4420140257315141,2.302585092994046,0.0,1.0986122886681098,0.0,1.9459101490553132
