n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
12.0,219.0,0.663594466988,0.999999992308,0.815384609112,4.0,2.0,1.0,0.0,4.6803652968,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500331204081,0.378278929586,0.0400046751006,0.0412626477296,0.0401225435029,0.521617145481,0.0925619834711,0.0456621004566,0.013698630137,0.769230769231,0.230769230769,0.378636363636,0.1,0.7,-0.35,-0.6,-0.2,0.5,-0.1875,0.0,0.1875,593
9.0,255.0,0.604743080614,0.999999993289,0.79194630341,3.0,1.0,1.0,0.0,4.9137254902,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799755687423,0.0500466753998,0.0500962518137,0.0501006734234,0.0500007119405,0.341245791246,0.148947811448,0.043137254902,0.0156862745098,0.733333333333,0.266666666667,0.286914600551,0.0333333333333,0.7,-0.11875,-0.125,-0.1,0.0,0.0,0.5,0.0,711
9.0,211.0,0.575129530699,0.999999991597,0.66386554064,3.0,1.0,1.0,0.0,4.39336492891,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217792288518,0.033334456999,0.0333514249339,0.0333335358046,0.682188293744,0.702222222222,0.323333333333,0.0568720379147,0.00947867298578,0.857142857143,0.142857142857,0.495833333333,0.1,1.0,-0.466666666667,-0.8,-0.133333333333,0.0,0.0,0.5,0.0,1500
9.0,531.0,0.503787877834,0.999999996904,0.665634672862,9.0,0.0,1.0,0.0,4.40489642185,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285732164707,0.419299641782,0.49465082574,0.0289047184252,0.0285715975818,0.42984968735,0.100704665705,0.0414312617702,0.0207156308851,0.666666666667,0.333333333333,0.385965171192,0.136363636364,0.8,-0.369696969697,-0.6,-0.166666666667,0.0,0.0,0.5,0.0,1200
13.0,1072.0,0.41564561695,0.999999998565,0.540889525766,19.0,19.0,20.0,0.0,4.6828358209,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286328101715,0.0287935517322,0.0285751849112,0.028571675324,0.885426777861,0.513502122877,0.281003475691,0.0746268656716,0.0121268656716,0.860215053763,0.139784946237,0.411127435065,0.0333333333333,1.0,-0.220192307692,-0.5,-0.05,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,505
10.0,370.0,0.559888577828,0.999999995495,0.698198195053,2.0,2.0,0.0,0.0,4.35945945946,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222452755449,0.306717575824,0.0222312775078,0.0222242903103,0.626581580813,0.437408648699,0.0711841921519,0.0297297297297,0.027027027027,0.52380952381,0.47619047619,0.350609996065,0.136363636364,0.6,-0.195,-0.4,-0.1,0.642857142857,0.214285714286,0.142857142857,0.214285714286,855
8.0,960.0,0.418162618355,0.999999998339,0.54983388613,21.0,20.0,20.0,0.0,4.65416666667,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200816655822,0.114705387413,0.0200243688545,0.0200153281713,0.825173249979,0.514480300844,0.268302724212,0.0802083333333,0.0166666666667,0.827956989247,0.172043010753,0.402038567493,0.1,1.0,-0.224479166667,-0.5,-0.05,0.0,0.0,0.5,0.0,556
12.0,989.0,0.433573634981,0.999999998415,0.572107764545,20.0,20.0,20.0,0.0,4.61779575329,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222243573751,0.150732973266,0.243435475507,0.0222236031538,0.561383590699,0.543474234099,0.298613469863,0.0839231547017,0.0151668351871,0.84693877551,0.15306122449,0.427720492359,0.1,1.0,-0.242777777778,-0.5,-0.05,1.0,0.5,0.5,0.5,891
11.0,97.0,0.670103085875,0.999999979592,0.836734676801,2.0,0.0,0.0,0.0,4.85567010309,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458250415016,0.0289794309233,0.0286618834452,0.0296958587737,0.454412411842,0.538888888889,0.161111111111,0.0309278350515,0.020618556701,0.6,0.4,0.566666666667,0.4,0.8,-0.125,-0.125,-0.125,0.125,0.0,0.375,0.0,3600
10.0,231.0,0.636363633609,0.999999992754,0.797101443499,4.0,1.0,1.0,1.0,5.09090909091,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400000958117,0.0400000263554,0.839997207202,0.0400006328035,0.0400020378274,0.313888888889,0.0518518518519,0.038961038961,0.030303030303,0.5625,0.4375,0.298412698413,0.1,0.5,-0.238095238095,-0.5,-0.1,0.0,0.0,0.5,0.0,710
9.0,1248.0,0.490049750837,0.999999998588,0.731638417046,11.0,0.0,1.0,0.0,4.61778846154,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250035640536,0.287301139934,0.400829319926,0.261863749124,0.0250022269618,0.482059813124,0.102350145729,0.0384615384615,0.0208333333333,0.648648648649,0.351351351351,0.404480068543,0.1,1.0,-0.415064102564,-1.0,-0.1,0.0,0.0,0.5,0.0,2200
10.0,187.0,0.666666663082,0.999999991304,0.799999993043,7.0,0.0,1.0,0.0,4.6577540107,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02862788014,0.0285728766033,0.0285956885604,0.0287153666316,0.885488188065,0.477164502165,0.15,0.0267379679144,0.0106951871658,0.714285714286,0.285714285714,0.435,0.2,0.7,-0.2625,-0.4,-0.125,0.0,0.0,0.5,0.0,1900
9.0,274.0,0.609195399965,0.999999994152,0.707602335043,18.0,2.0,11.0,0.0,4.23357664234,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150492534582,0.025933599228,0.0251877092058,0.304298398227,0.494087758757,0.534950029394,0.100727513228,0.0510948905109,0.029197080292,0.636363636364,0.363636363636,0.375510204082,0.2,0.7,-0.310416666667,-0.6,-0.05,1.0,-1.0,0.5,1.0,823
9.0,285.0,0.744186043627,0.999999994536,0.841530050046,4.0,2.0,0.0,21.0,4.34385964912,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333862300822,0.0334265855475,0.0333515784993,0.866498538197,0.0333370676739,0.509743589744,-0.0530849358974,0.0280701754386,0.0526315789474,0.347826086957,0.652173913043,0.4575,0.16,1.0,-0.337888888889,-0.7,-0.1,1.0,-1.0,0.5,1.0,10000
8.0,259.0,0.562753034159,0.999999994444,0.644444440864,19.0,3.0,9.0,0.0,5.02316602317,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287800668244,0.028814084746,0.0285743343251,0.885144107655,0.0286874064498,0.295175127902,0.0572992916175,0.015444015444,0.011583011583,0.571428571429,0.428571428571,0.249090909091,0.136363636364,0.5,-0.13869047619,-0.1875,-0.05,0.75,0.55,0.25,0.55,761
12.0,682.0,0.459541984031,0.999999997429,0.634961437956,10.0,0.0,1.0,0.0,4.62023460411,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333338761316,0.0333336748346,0.866662607102,0.0333350169295,0.0333348250024,0.473285048285,0.0622266622267,0.049853372434,0.0395894428152,0.55737704918,0.44262295082,0.343070409982,0.05,0.6,-0.220149911817,-0.6,-0.05,0.75,-0.25,0.25,0.25,1600
8.0,1118.0,0.512396693744,0.999999998563,0.709770113923,26.0,18.0,12.0,1.0,4.70393559928,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400805062393,0.0401443799046,0.0400276469927,0.839741883778,0.0400055830855,0.57962962963,0.056378600823,0.04114490161,0.025939177102,0.613333333333,0.386666666667,0.504528985507,0.1,1.0,-0.401436781609,-1.0,-0.05,0.566666666667,-0.1,0.0666666666667,0.1,13600
8.0,397.0,0.624678661633,0.999999995951,0.805668012933,11.0,0.0,1.0,0.0,5.44584382872,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866666195415,0.0333334892453,0.0333335297611,0.0333333688356,0.033333416743,0.374313754427,0.212487701692,0.0654911838791,0.0100755667506,0.866666666667,0.133333333333,0.381847319347,0.0333333333333,1.0,-0.144642857143,-0.2,-0.1,0.0,0.0,0.5,0.0,3100
11.0,103.0,0.689320381657,0.999999983871,0.806451599896,3.0,1.0,1.0,0.0,4.84466019417,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437373579034,0.200363493223,0.0334567892956,0.0334034723591,0.295402666088,0.423611111111,0.118055555556,0.0291262135922,0.00970873786408,0.75,0.25,0.277777777778,0.0333333333333,0.5,-0.125,-0.125,-0.125,0.857142857143,-0.714285714286,0.357142857143,0.714285714286,5700
8.0,1207.0,0.410579344743,0.999999998711,0.548969071458,24.0,24.0,42.0,0.0,4.71665285833,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250005815555,0.0251633668123,0.0250005510306,0.0250002351713,0.89983526543,0.539251643418,0.288259179093,0.069594034797,0.0115990057995,0.857142857143,0.142857142857,0.426568491033,0.1,1.0,-0.226785714286,-0.5,-0.05,0.5,0.0,0.0,0.0,17100
13.0,1248.0,0.390637610661,0.999999998736,0.523388115647,21.0,19.0,20.0,0.0,4.68669871795,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200687474478,0.0200045250931,0.0200185078531,0.0200084249105,0.919899794695,0.506535131535,0.29044039294,0.068108974359,0.0112179487179,0.858585858586,0.141414141414,0.408244716068,0.1,1.0,-0.206547619048,-0.5,-0.05,0.0,0.0,0.5,0.0,2800
9.0,391.0,0.510256408948,0.999999995833,0.649999997292,9.0,2.0,1.0,1.0,5.29667519182,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287743893255,0.0285772058633,0.680662391754,0.0285738751076,0.23341213795,0.284210526316,0.0333333333333,0.0179028132992,0.00511508951407,0.777777777778,0.222222222222,0.15,0.05,0.35,-0.108333333333,-0.166666666667,-0.05,0.0,0.0,0.5,0.0,598
11.0,1154.0,0.42730496416,0.999999998613,0.572815533186,20.0,20.0,20.0,0.0,4.62998266898,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31193116381,0.232677833294,0.0285750198108,0.0285742921237,0.398241690961,0.53365762214,0.268667864873,0.0745233968804,0.0164644714038,0.819047619048,0.180952380952,0.416342998087,0.1,1.0,-0.230263157895,-0.5,-0.05,0.0,0.0,0.5,0.0,445
11.0,125.0,0.674796742481,0.999999987342,0.797468344336,1.0,1.0,1.0,0.0,4.824,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333533043,0.0333354513717,0.69998514044,0.200010578813,0.0333352963323,0.396401515152,0.210795454545,0.048,0.0,1.0,0.0,0.281060606061,0.1,0.6,0.0,0.0,0.0,0.45,0.4,0.05,0.4,1500
